idPersona,idFrameInicial,idFrameFinal,movX,movY
1,1,2,0,0
1,2,16,-1,1
1,16,21,-1,-1
1,21,33,-1,1
1,33,35,-1,0
1,35,36,-1,1
1,36,38,-1,-1
1,38,39,-1,1
1,39,40,1,-1
1,40,44,-1,1
1,44,45,-1,-1
1,45,47,-1,1
1,47,50,-1,-1
1,50,51,-1,1
1,51,52,-1,-1
1,52,56,-1,1
1,56,57,-1,-1
1,57,59,-1,1
1,59,61,-1,-1
1,61,63,-1,1
1,63,64,-1,-1
1,64,65,-1,1
1,65,66,-1,-1
1,66,69,-1,1
1,69,70,-1,-1
1,70,72,-1,1
1,72,73,-1,-1
1,73,77,-1,1
1,77,79,-1,0
1,79,80,-1,1
1,80,81,-1,0
1,81,88,-1,1
1,88,91,-1,-1
1,91,95,-1,1
1,95,96,-1,0
1,96,97,-1,1
1,97,98,-1,-1
1,98,99,-1,1
1,99,100,-1,0
1,100,101,-1,-1
1,101,102,-1,1
1,102,102,-1,-1
1,102,102,-1,0
1,102,102,-1,-1
2,1,2,0,0
2,2,5,1,-1
2,5,6,-1,1
2,6,7,1,-1
2,7,9,1,1
2,9,10,0,0
2,10,11,-1,-1
2,11,12,1,0
2,12,13,1,-1
2,13,14,0,0
2,14,23,1,-1
2,23,24,1,1
2,24,25,0,1
2,25,29,1,-1
2,29,30,1,1
2,30,31,-1,-1
2,31,32,1,1
2,32,33,-1,-1
2,33,42,1,-1
2,42,43,0,-1
2,43,44,1,-1
2,44,45,-1,1
2,45,46,-1,-1
2,46,47,0,0
2,47,48,0,-1
2,48,49,1,-1
2,49,50,-1,1
2,50,51,-1,-1
2,51,60,1,-1
2,60,61,1,1
2,61,62,1,-1
2,62,63,1,1
2,63,64,1,0
2,64,65,1,-1
2,65,66,-1,1
2,66,68,1,-1
2,68,69,1,1
2,69,71,1,-1
2,71,72,-1,1
2,72,74,1,-1
2,74,75,-1,-1
2,75,77,1,-1
2,77,78,-1,-1
2,78,79,0,-1
2,79,81,-1,1
2,81,82,-1,0
2,82,83,-1,-1
2,83,84,-1,0
2,84,85,-1,-1
2,85,86,-1,1
2,86,87,-1,0
2,87,88,-1,1
2,88,90,-1,-1
2,90,92,-1,1
2,92,95,-1,-1
2,95,96,-1,1
2,96,98,-1,-1
2,98,99,1,1
2,99,100,-1,-1
2,100,101,-1,1
2,101,102,1,1
2,102,102,1,-1
2,102,102,1,1
2,102,102,1,0
2,102,102,1,1
2,102,102,1,0
3,1,6,0,0
3,6,7,0,-1
3,7,9,0,0
3,9,10,-1,-1
3,10,12,0,0
3,12,13,1,0
3,13,14,1,-1
3,14,15,-1,0
3,15,16,1,0
3,16,17,-1,0
3,17,18,0,0
3,18,20,1,0
3,20,21,1,1
3,21,22,1,0
3,22,24,0,0
3,24,25,-1,0
3,25,26,0,0
3,26,28,1,0
3,28,29,-1,0
3,29,30,1,-1
3,30,31,-1,1
3,31,32,0,-1
3,32,34,0,0
3,34,36,1,0
3,36,38,0,0
3,38,39,0,-1
3,39,40,0,0
3,40,42,1,0
3,42,43,0,0
3,43,45,-1,1
3,45,46,1,1
3,46,47,1,-1
3,47,48,-1,1
3,48,49,1,-1
3,49,50,-1,-1
3,50,51,1,0
3,51,52,1,-1
3,52,53,0,0
3,53,54,-1,-1
3,54,55,1,-1
3,55,57,0,0
3,57,58,1,1
3,58,59,1,-1
3,59,60,-1,0
3,60,61,1,0
3,61,62,0,1
3,62,63,1,1
3,63,64,1,0
3,64,65,0,1
3,65,66,1,-1
3,66,69,0,-1
3,69,70,1,-1
3,70,71,0,0
3,71,72,0,-1
3,72,73,-1,0
3,73,85,-1,-1
3,85,86,-1,0
3,86,91,-1,-1
3,91,92,-1,0
3,92,93,-1,-1
3,93,94,-1,0
3,94,95,-1,-1
3,95,96,-1,0
3,96,98,-1,-1
3,98,98,-1,0
4,1,2,0,0
4,2,4,1,1
4,4,6,1,-1
4,6,8,-1,1
4,8,9,1,-1
4,9,10,1,0
4,10,11,1,-1
4,11,12,-1,0
4,12,14,1,-1
4,14,15,0,1
4,15,16,1,-1
4,16,17,1,1
4,17,18,1,-1
4,18,21,1,1
4,21,22,1,-1
4,22,23,-1,1
4,23,24,1,1
4,24,25,-1,1
4,25,27,1,1
4,27,29,1,-1
4,29,30,-1,1
4,30,31,1,-1
4,31,32,1,0
4,32,34,1,-1
4,34,35,-1,1
4,35,39,1,-1
4,39,40,1,1
4,40,41,1,0
4,41,44,1,-1
4,44,45,1,0
4,45,49,1,-1
4,49,50,1,1
4,50,51,-1,1
4,51,53,1,-1
4,53,54,-1,-1
4,54,55,1,1
4,55,57,1,-1
4,57,58,1,1
4,58,62,1,-1
4,62,64,1,1
4,64,68,1,-1
4,68,69,0,1
4,69,71,1,-1
4,71,72,0,1
4,72,73,-1,-1
4,73,76,1,-1
4,76,77,-1,-1
4,77,80,1,-1
4,80,81,-1,-1
4,81,82,1,-1
4,82,83,1,1
4,83,84,-1,1
4,84,88,1,-1
4,88,89,-1,-1
4,89,91,1,1
4,91,92,-1,1
4,92,93,1,1
4,93,94,-1,-1
4,94,95,1,-1
4,95,96,1,1
4,96,97,-1,-1
4,97,98,1,-1
4,98,99,-1,0
4,99,100,-1,-1
4,100,101,-1,1
4,101,102,-1,-1
4,102,102,-1,0
4,102,102,-1,-1
5,1,2,0,0
5,2,3,1,1
5,3,5,1,-1
5,5,7,0,-1
5,7,8,-1,-1
5,8,9,1,-1
5,9,10,0,-1
5,10,11,-1,1
5,11,12,1,-1
5,12,13,1,1
5,13,14,-1,-1
5,14,15,0,1
5,15,16,0,-1
5,16,17,1,-1
5,17,18,1,1
5,18,22,1,-1
5,22,23,0,1
5,23,24,1,1
5,24,25,-1,-1
5,25,27,1,-1
5,27,28,0,-1
5,28,29,1,0
5,29,30,0,1
5,30,31,1,-1
5,31,32,1,0
5,32,33,1,-1
5,33,34,1,0
5,34,36,1,-1
5,36,37,-1,0
5,37,38,1,0
5,38,39,1,1
5,39,40,1,-1
5,40,42,1,0
5,42,44,1,-1
5,44,45,1,1
5,45,46,1,-1
5,46,47,1,1
5,47,48,1,-1
5,48,49,-1,-1
5,49,50,1,0
5,50,51,-1,-1
5,51,52,1,-1
5,52,53,-1,-1
5,53,54,-1,1
5,54,56,1,-1
5,56,57,0,1
5,57,58,1,-1
5,58,59,0,-1
5,59,60,0,1
5,60,62,1,1
5,62,63,1,-1
5,63,64,-1,-1
5,64,66,1,-1
5,66,67,-1,-1
5,67,68,0,1
5,68,70,1,-1
5,70,71,-1,-1
5,71,72,1,-1
5,72,73,1,1
5,73,76,1,-1
5,76,77,0,-1
5,77,79,1,1
5,79,80,0,0
5,80,81,1,-1
5,81,82,1,0
5,82,83,0,-1
5,83,84,1,0
5,84,85,0,0
5,85,85,0,-1
6,1,2,0,0
6,2,3,-1,1
6,3,4,0,1
6,4,8,0,0
6,8,9,1,-1
6,9,11,0,0
6,11,12,-1,1
6,12,13,0,0
6,13,14,1,-1
6,14,15,-1,1
6,15,16,0,-1
6,16,17,0,0
6,17,18,0,1
6,18,19,0,0
6,19,20,1,1
6,20,21,0,0
6,21,22,-1,-1
6,22,23,0,0
6,23,24,0,-1
6,24,27,0,0
6,27,28,0,1
6,28,29,-1,-1
6,29,30,1,1
6,30,31,0,-1
6,31,32,-1,0
6,32,33,1,1
6,33,38,0,0
6,38,39,0,1
6,39,54,0,0
6,54,55,1,-1
6,55,56,0,0
6,56,57,-1,0
6,57,58,0,0
6,58,59,1,0
6,59,60,0,0
6,60,61,-1,0
6,61,62,1,1
6,62,75,0,0
6,75,76,-1,0
6,76,77,1,0
6,77,78,0,0
6,78,79,-1,0
6,79,80,0,0
6,80,81,0,-1
6,81,82,0,0
6,82,83,0,1
6,83,84,1,0
6,84,87,0,0
6,87,88,-1,-1
6,88,89,0,0
6,89,90,0,1
6,90,91,0,-1
6,91,95,0,0
6,95,96,1,0
6,96,97,-1,0
6,97,98,1,0
6,98,102,0,0
6,102,102,0,1
6,102,102,1,0
6,102,102,0,0
6,102,102,0,1
6,102,102,0,0
0,2,3,0,0
0,3,6,-1,0
0,6,8,1,0
0,8,9,-1,0
0,9,10,1,0
0,10,11,1,1
0,11,12,-1,0
0,12,13,1,-1
0,13,14,1,0
0,14,15,0,1
0,15,16,-1,0
0,16,17,-1,-1
0,17,18,1,0
0,18,19,0,1
0,19,20,1,0
0,20,21,-1,1
0,21,22,0,1
0,22,23,-1,-1
0,23,24,-1,0
0,24,26,-1,1
0,26,27,-1,-1
0,27,29,0,-1
0,29,30,0,0
0,30,31,1,-1
0,31,32,-1,-1
0,32,33,1,1
0,33,34,-1,-1
0,34,35,-1,1
0,35,36,1,0
0,36,37,-1,0
0,37,38,1,0
0,38,39,-1,0
0,39,40,1,-1
0,40,42,-1,-1
0,42,43,0,-1
0,43,44,1,1
0,44,45,1,0
0,45,46,1,1
0,46,47,0,-1
0,47,48,-1,1
0,48,50,1,-1
0,50,51,0,0
0,51,52,1,0
0,52,53,1,1
0,53,54,1,-1
0,54,56,1,1
0,56,58,1,-1
0,58,59,1,0
0,59,60,1,1
0,60,61,1,-1
0,61,62,-1,-1
0,62,64,1,-1
0,64,65,0,-1
0,65,67,-1,-1
0,67,68,1,0
0,68,69,1,-1
0,69,70,-1,-1
0,70,71,1,-1
0,71,72,-1,-1
0,72,73,-1,1
0,73,74,-1,-1
0,74,75,-1,1
0,75,77,-1,-1
0,77,78,-1,0
0,78,79,1,-1
0,79,80,1,1
0,80,81,-1,-1
0,81,82,1,-1
0,82,83,1,0
0,83,84,1,1
0,84,85,-1,1
0,85,87,1,-1
0,87,88,-1,1
0,88,89,-1,-1
0,89,90,1,0
0,90,91,1,-1
0,91,92,1,1
0,92,95,1,-1
0,95,97,0,-1
0,97,99,-1,-1
0,99,100,-1,0
0,100,101,1,0
0,101,102,0,-1
0,102,102,1,0
0,102,102,0,0
0,102,102,-1,0
0,102,102,0,-1
0,102,102,0,0
0,102,102,-1,0
7,2,3,0,0
7,3,4,0,-1
7,4,5,0,0
7,5,6,0,-1
7,6,7,1,0
7,7,8,-1,-1
7,8,9,-1,0
7,9,10,0,0
7,10,11,1,1
7,11,12,-1,1
7,12,13,0,-1
7,13,14,1,1
7,14,15,0,-1
7,15,16,1,1
7,16,17,-1,1
7,17,18,1,1
7,18,19,-1,1
7,19,20,-1,-1
7,20,21,1,-1
7,21,22,0,1
7,22,23,1,-1
7,23,24,-1,0
7,24,25,1,0
7,25,26,-1,1
7,26,27,1,0
7,27,28,0,1
7,28,29,0,0
7,29,30,-1,0
7,30,31,-1,1
7,31,32,-1,0
7,32,33,0,1
7,33,34,-1,1
7,34,35,0,1
7,35,37,-1,1
7,37,37,0,0
8,12,14,0,0
8,14,15,1,-1
8,15,20,1,0
8,20,22,1,-1
8,22,30,1,1
8,30,31,1,-1
8,31,34,1,1
8,34,35,-1,1
8,35,36,1,-1
8,36,37,1,1
8,37,38,-1,-1
8,38,39,1,0
8,39,40,1,1
8,40,42,1,-1
8,42,43,1,1
8,43,44,1,-1
8,44,45,1,0
8,45,46,1,-1
8,46,47,1,0
8,47,49,1,-1
8,49,50,0,-1
8,50,51,-1,-1
8,51,52,1,0
8,52,53,1,-1
8,53,54,0,-1
8,54,55,1,-1
8,55,56,0,-1
8,56,57,1,1
8,57,58,-1,-1
8,58,59,1,0
8,59,63,1,-1
9,16,17,0,0
9,17,18,-1,0
9,18,19,0,0
9,19,23,-1,0
10,20,21,0,0
10,21,22,-1,1
10,22,23,1,1
10,23,24,-1,-1
10,24,25,1,1
10,25,26,-1,1
10,26,27,-1,-1
10,27,28,-1,0
10,28,29,1,-1
10,29,30,-1,-1
10,30,31,-1,1
10,31,33,-1,-1
10,33,36,0,0
10,36,37,-1,0
10,37,38,0,-1
10,38,39,-1,0
10,39,40,0,-1
10,40,40,-1,0
11,34,35,0,0
11,35,36,1,-1
11,36,37,-1,1
11,37,39,1,-1
11,39,40,1,1
11,40,41,1,-1
11,41,42,-1,-1
11,42,43,1,1
11,43,44,-1,1
11,44,46,-1,-1
11,46,47,-1,1
11,47,48,-1,-1
11,48,49,1,-1
11,49,50,1,1
11,50,51,1,-1
11,51,52,-1,-1
11,52,59,1,-1
11,59,60,-1,-1
11,60,62,1,-1
11,62,63,-1,-1
11,63,64,1,1
11,64,67,1,-1
11,67,68,1,1
11,68,69,1,-1
11,69,70,1,1
11,70,71,1,-1
11,71,72,1,0
11,72,75,1,-1
11,75,76,0,0
11,76,77,1,-1
11,77,78,1,1
11,78,80,1,-1
11,80,82,-1,-1
11,82,83,1,-1
11,83,84,1,1
11,84,85,1,-1
11,85,87,1,1
11,87,88,0,-1
11,88,89,1,1
11,89,95,1,-1
11,95,96,1,1
11,96,97,1,-1
11,97,98,1,0
11,98,100,1,-1
11,100,101,1,1
11,101,102,1,-1
11,102,102,1,1
11,102,102,1,-1
12,64,70,0,0
13,67,68,0,0
13,68,70,-1,-1
13,70,71,0,0
13,71,72,0,-1
13,72,74,-1,-1
13,74,75,0,-1
13,75,76,-1,-1
14,69,71,0,0
14,71,72,-1,-1
14,72,73,1,-1
14,73,74,-1,-1
14,74,75,0,-1
14,75,76,1,-1
14,76,77,1,1
14,77,78,0,-1
14,78,81,1,1
14,81,82,-1,-1
14,82,83,1,1
14,83,86,1,-1
14,86,87,0,-1
14,87,88,1,0
14,88,89,1,-1
14,89,90,1,0
14,90,94,1,-1
