0, 1, (1557, 1719, 781, 1079)
1, 1, (235, 305, 363, 546)
2, 1, (1336, 1457, 531, 845)
3, 1, (1159, 1319, 961, 1080)
4, 1, (1664, 1766, 583, 831)
5, 1, (1419, 1498, 513, 781)
6, 1, (1740, 1807, 367, 516)
0, 2, (1557, 1719, 781, 1079)
1, 2, (240, 307, 362, 543)
2, 2, (1333, 1456, 532, 849)
3, 2, (1159, 1319, 961, 1080)
4, 2, (1659, 1764, 580, 833)
5, 2, (1416, 1497, 513, 777)
6, 2, (1739, 1809, 364, 517)
7, 2, (979, 1014, 286, 376)
0, 3, (1557, 1720, 781, 1079)
1, 3, (248, 311, 358, 538)
2, 3, (1331, 1454, 535, 850)
3, 3, (1159, 1319, 961, 1080)
4, 3, (1655, 1764, 576, 833)
5, 3, (1414, 1496, 513, 781)
6, 3, (1739, 1809, 363, 517)
7, 3, (981, 1012, 287, 377)
0, 4, (1557, 1721, 781, 1079)
1, 4, (252, 314, 355, 528)
2, 4, (1329, 1452, 536, 853)
3, 4, (1159, 1319, 961, 1080)
4, 4, (1646, 1762, 581, 834)
5, 4, (1414, 1494, 514, 786)
6, 4, (1739, 1809, 363, 517)
7, 4, (981, 1012, 287, 377)
0, 5, (1557, 1722, 781, 1079)
1, 5, (255, 319, 356, 510)
2, 5, (1329, 1453, 532, 852)
3, 5, (1159, 1319, 961, 1080)
4, 5, (1640, 1762, 586, 835)
5, 5, (1414, 1494, 515, 790)
6, 5, (1739, 1809, 363, 517)
7, 5, (982, 1011, 290, 376)
0, 6, (1557, 1721, 781, 1079)
1, 6, (261, 320, 355, 497)
2, 6, (1327, 1453, 534, 853)
3, 6, (1159, 1319, 962, 1080)
4, 6, (1647, 1764, 584, 836)
5, 6, (1413, 1495, 517, 798)
6, 6, (1739, 1809, 363, 517)
7, 6, (981, 1011, 290, 376)
0, 7, (1557, 1718, 781, 1079)
1, 7, (267, 323, 355, 489)
2, 7, (1324, 1455, 532, 851)
3, 7, (1159, 1319, 962, 1080)
4, 7, (1653, 1764, 569, 822)
5, 7, (1412, 1498, 517, 802)
6, 7, (1739, 1809, 363, 517)
7, 7, (982, 1011, 293, 376)
0, 8, (1557, 1719, 781, 1079)
1, 8, (273, 328, 358, 484)
2, 8, (1321, 1456, 531, 848)
3, 8, (1159, 1319, 962, 1080)
4, 8, (1650, 1763, 574, 821)
5, 8, (1411, 1495, 518, 813)
6, 8, (1740, 1807, 366, 516)
7, 8, (982, 1012, 293, 376)
0, 9, (1557, 1717, 781, 1079)
1, 9, (280, 336, 357, 478)
2, 9, (1321, 1456, 532, 847)
3, 9, (1160, 1319, 963, 1080)
4, 9, (1648, 1761, 574, 821)
5, 9, (1412, 1494, 520, 821)
6, 9, (1740, 1807, 366, 516)
7, 9, (982, 1012, 294, 375)
0, 10, (1557, 1712, 780, 1079)
1, 10, (284, 340, 360, 469)
2, 10, (1321, 1457, 531, 849)
3, 10, (1160, 1319, 963, 1080)
4, 10, (1649, 1758, 579, 820)
5, 10, (1413, 1496, 521, 817)
6, 10, (1740, 1807, 366, 516)
7, 10, (981, 1012, 292, 374)
0, 11, (1557, 1716, 780, 1079)
1, 11, (289, 346, 359, 467)
2, 11, (1319, 1452, 532, 848)
3, 11, (1160, 1319, 963, 1080)
4, 11, (1650, 1759, 580, 819)
5, 11, (1411, 1492, 524, 823)
6, 11, (1739, 1809, 363, 517)
7, 11, (981, 1013, 289, 374)
0, 12, (1557, 1714, 781, 1079)
1, 12, (294, 353, 358, 465)
2, 12, (1318, 1451, 533, 851)
3, 12, (1160, 1318, 963, 1080)
4, 12, (1651, 1757, 588, 818)
5, 12, (1411, 1491, 525, 820)
6, 12, (1739, 1809, 363, 517)
7, 12, (981, 1013, 290, 376)
8, 12, (1617, 1709, 504, 756)
0, 13, (1557, 1713, 781, 1079)
1, 13, (301, 356, 356, 463)
2, 13, (1318, 1451, 533, 851)
3, 13, (1159, 1318, 964, 1080)
4, 13, (1648, 1757, 598, 815)
5, 13, (1413, 1490, 525, 824)
6, 13, (1740, 1807, 366, 516)
7, 13, (980, 1013, 289, 376)
8, 13, (1617, 1709, 504, 756)
0, 14, (1557, 1713, 780, 1079)
1, 14, (305, 363, 351, 463)
2, 14, (1316, 1451, 534, 859)
3, 14, (1159, 1319, 964, 1080)
4, 14, (1652, 1753, 592, 818)
5, 14, (1413, 1490, 528, 819)
6, 14, (1741, 1808, 365, 516)
7, 14, (980, 1013, 290, 377)
8, 14, (1609, 1716, 504, 761)
0, 15, (1557, 1714, 780, 1079)
1, 15, (310, 368, 348, 460)
2, 15, (1314, 1449, 534, 863)
3, 15, (1159, 1318, 964, 1080)
4, 15, (1648, 1749, 592, 822)
5, 15, (1413, 1490, 530, 830)
6, 15, (1741, 1808, 366, 516)
7, 15, (979, 1013, 288, 377)
8, 15, (1608, 1715, 504, 761)
0, 16, (1557, 1717, 781, 1079)
